Function,Category,Subcategory_ID,Subcategory_Description,SP800_53_Controls
Identify (ID),"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.",ID.AM-1,Physical devices and systems within the organization are inventoried,"CM-8, PM-5"
Identify (ID),"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.",ID.AM-2,Software platforms and applications within the organization are inventoried,CM-8
Identify (ID),"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.",ID.AM-3,Organizational communication and data flows are mapped,"AC-4, CA-3, CA-9, PL-8, SA-17"
Identify (ID),"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.",ID.AM-4,External information systems are catalogued,"AC-20, PM-5, SA-9"
Identify (ID),"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.",ID.AM-5,"Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value ","CP-2, RA-2, RA-9, SA-20, SC-6"
Identify (ID),"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.",ID.AM-6,"Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established","CP-2, PS-7, PM-2, PM-29"
Identify (ID),"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",ID.BE-1,The organization’s role in the supply chain is identified and communicated,"SR-1, SR-3"
Identify (ID),"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",ID.BE-2,The organization’s place in critical infrastructure and its industry sector is identified and communicated,PM-8
Identify (ID),"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",ID.BE-3,"Priorities for organizational mission, objectives, and activities are established and communicated",PM-11
Identify (ID),"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",ID.BE-4,Dependencies and critical functions for delivery of critical services are established,"CP-2, CP-8, PE-9, PE-11, PM-8, RA-9, SA-20, SR-2"
Identify (ID),"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",ID.BE-5,"Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations)","CP-2, CP-11, RA-9, SA-8, SA-20 "
Identify (ID),"Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",ID.GV-1,Organizational cybersecurity policy is established and communicated, -1 controls from all security control families 
Identify (ID),"Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",ID.GV-2,Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners,"PS-7, PS-9, PM-1, PM-2, PM-29"
Identify (ID),"Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed", -1 controls from all security control families
Identify (ID),"Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",ID.GV-4,Governance and risk management processes address cybersecurity risks," PM-3, PM-7, PM-9, PM-10, PM-11, PM-28,  RA-1, RA-2, RA-3, SA-2"
Identify (ID),"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",ID.RA-1,Asset vulnerabilities are identified and documented," CA-2, CA-5, CA-7, CA-8, PM-4, PM-15, RA-3, RA-5, SA-5, SA-11, SI-2, SI-4, SI-5"
Identify (ID),"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",ID.RA-2,Cyber threat intelligence is received from information sharing forums and sources,"PM-15, PM-16, RA-10, SI-5"
Identify (ID),"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",ID.RA-3,"Threats, both internal and external, are identified and documented","PM-12, PM-16, RA-3, RA-10, SI-5"
Identify (ID),"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",ID.RA-4,Potential business impacts and likelihoods are identified,"CP-2, PM-9, PM-11, RA-2, RA-3, RA-9"
Identify (ID),"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",ID.RA-5,"Threats, vulnerabilities, likelihoods, and impacts are used to determine risk","CA-2, CA-7,  PM-16, PM-28, RA-2, RA-3"
Identify (ID),"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",ID.RA-6,Risk responses are identified and prioritized,"CA-5, PM-4, PM-9, PM-28, RA-7"
Identify (ID),"Risk Management Strategy (ID.RM): The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",ID.RM-1,"Risk management processes are established, managed, and agreed to by organizational stakeholders","PM-9, PM-28"
Identify (ID),"Risk Management Strategy (ID.RM): The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",ID.RM-2,Organizational risk tolerance is determined and clearly expressed,PM-9
Identify (ID),"Risk Management Strategy (ID.RM): The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.",ID.RM-3,The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis,"PM-8, PM-9, PM-11, RA-9"
Identify (ID),"Supply Chain Risk Management (ID.SC):
The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk. The organization has established and implemented the processes to identify, assess and manage supply chain risks.",ID.SC-1,"Cyber supply chain risk management processes are identified, established, assessed, managed, and agreed to by organizational stakeholders","PM-30, SA-9, SR-1, SR-2, SR-3, SR-5 "
Identify (ID),"Supply Chain Risk Management (ID.SC):
The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk. The organization has established and implemented the processes to identify, assess and manage supply chain risks.",ID.SC-2,"Suppliers and third party partners of information systems, components, and services are identified, prioritized, and assessed using a cyber supply chain risk assessment process ","PM-9, RA-3, SA-15, SR-2, SR-3, SR-5, SR-6"
Identify (ID),"Supply Chain Risk Management (ID.SC):
The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk. The organization has established and implemented the processes to identify, assess and manage supply chain risks.",ID.SC-3,Contracts with suppliers and third-party partners are used to implement appropriate measures designed to meet the objectives of an organization’s cybersecurity program and Cyber Supply Chain Risk Management Plan.,"SA-4, SA-9, SR-2, SR-3, SR-5"
Identify (ID),"Supply Chain Risk Management (ID.SC):
The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk. The organization has established and implemented the processes to identify, assess and manage supply chain risks.",ID.SC-4,"Suppliers and third-party partners are routinely assessed using audits, test results, or other forms of evaluations to confirm they are meeting their contractual obligations.","AU-6,  CA-2, CA-7, PS-7, SA-9, SA-11 "
Identify (ID),"Supply Chain Risk Management (ID.SC):
The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk. The organization has established and implemented the processes to identify, assess and manage supply chain risks.",ID.SC-5,Response and recovery planning and testing are conducted with suppliers and third-party providers,"CP-2, CP-4, IR-3, IR-4, IR-8, IR-9"
Protect (PR),"Identity Management, Authentication and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.",PR.AC-1,"Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes","IA-1, IA-2, IA-3, IA-4, IA-5, IA-7, IA-8, IA-9, IA-10, IA-11, IA-12 "
Protect (PR),"Identity Management, Authentication and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.",PR.AC-2,Physical access to assets is managed and protected,"PE-1, PE-2, PE-3, PE-4, PE-5, PE-6, PE-8, PE-9"
Protect (PR),"Identity Management, Authentication and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.",PR.AC-3,Remote access is managed,"AC-1, AC-17, AC-19, AC-20, SC-15"
Protect (PR),"Identity Management, Authentication and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.",PR.AC-4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties","AC-1, AC-2, AC-3, AC-5, AC-6, AC-14, AC-16, AC-24"
Protect (PR),"Identity Management, Authentication and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.",PR.AC-5,"Network integrity is protected (e.g., network segregation, network segmentation)","AC-4, AC-10, SC-7, SC-10, SC-20"
Protect (PR),"Identity Management, Authentication and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.",PR.AC-6,Identities are proofed and bound to credentials and asserted in interactions,"AC-16, IA-1, IA-2, IA-4, IA-5, IA-8, IA-12, PE-2, PS-3"
Protect (PR),"Identity Management, Authentication and Access Control (PR.AC): Access to physical and logical assets and associated facilities is limited to authorized users, processes, and devices, and is managed consistent with the assessed risk of unauthorized access to authorized activities and transactions.",PR.AC-7,"Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks)","AC-14, IA-1, IA-2, IA-3, IA-5, IA-8, IA-9, IA-10, IA-11"
Protect (PR),"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.",PR.AT-1,All users are informed and trained ,"AT-2, PM-13, PM-14"
Protect (PR),"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.",PR.AT-2,Privileged users understand their roles and responsibilities ,"AT-3, PM-13"
Protect (PR),"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.",PR.AT-3,"Third-party stakeholders (e.g., suppliers, customers, partners) understand their roles and responsibilities ","AT-3, PS-7, SA-9"
Protect (PR),"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.",PR.AT-4,Senior executives understand their roles and responsibilities ,"AT-3, PM-13"
Protect (PR),"Awareness and Training (PR.AT): The organization’s personnel and partners are provided cybersecurity awareness education and are trained to perform their cybersecurity-related duties and responsibilities consistent with related policies, procedures, and agreements.",PR.AT-5,Physical and cybersecurity personnel understand their roles and responsibilities ,"AT-3, CP-3, IR-2, PM-13"
Protect (PR),"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",PR.DS-1,Data-at-rest is protected,"MP-2, MP-3, MP-4, MP-5, MP-6, MP-7, MP-8, SC-28"
Protect (PR),"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",PR.DS-2,Data-in-transit is protected," SC-8, SC-11"
Protect (PR),"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",PR.DS-3,"Assets are formally managed throughout removal, transfers, and disposition","CM-8, MP-6, PE-16, PE-20"
Protect (PR),"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",PR.DS-4,Adequate capacity to ensure availability is maintained,"AU-4, CP-2, PE-11, SC-5"
Protect (PR),"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",PR.DS-5,Protections against data leaks are implemented,"AC-4, AC-5, AC-6, AU-13, PE-19, PS-6, SC-7, SI-4"
Protect (PR),"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",PR.DS-6,"Integrity checking mechanisms are used to verify software, firmware, and information integrity","SI-7, SI-10"
Protect (PR),"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",PR.DS-7,The development and testing environment(s) are separate from the production environment,CM-2
Protect (PR),"Data Security (PR.DS): Information and records (data) are managed consistent with the organization’s risk strategy to protect the confidentiality, integrity, and availability of information.",PR.DS-8,Integrity checking mechanisms are used to verify hardware integrity,SA-10
Protect (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-1,A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),"CM-1, CM-2, CM-3, CM-4, CM-5, CM-6, CM-7, CM-9, SA-10"
Protect (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-2,A System Development Life Cycle to manage systems is implemented,"SA-3, SA-4, SA-8, SA-10, SA-11"
Protect (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-3,Configuration change control processes are in place,"CM-3, CM-4, SA-10"
Protect (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-4,"Backups of information are conducted, maintained, and tested "," CP-4, CP-6, CP-9"
Protect (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-5,Policy and regulations regarding the physical operating environment for organizational assets are met,PE-1
Protect (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-6,Data is destroyed according to policy,"MP-6, SR-12"
Protect (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-7,Protection processes are improved,"CA-2, CA-7, CA-8, CP-2, CP-4, IR-3,  IR-8, PL-2, PM-6"
Protect (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-8,Effectiveness of protection technologies is shared ,"AC-21, CA-7, CP-2, IR-8, SI-4"
Protect (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-9,Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,"CP-1, CP-2, CP-7, CP-10, IR-1, IR-7, IR-8, IR-9"
Protect (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-10,Response and recovery plans are tested,"CP-4, IR-3, PM-14"
Protect (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)","PS-1, PS-2, PS-3, PS-4, PS-5, PS-6, PS-7, PS-8, PS-9, SA-21 "
Protect (PR),"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.",PR.IP-12,A vulnerability management plan is developed and implemented,"RA-1, RA-3, RA-5, SI-2"
Protect (PR),Maintenance (PR.MA): Maintenance and repairs of industrial control and information system components are performed consistent with policies and procedures.,PR.MA-1,"Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools","MA-1, MA-2, MA-3, MA-5, MA-6"
Protect (PR),Maintenance (PR.MA): Maintenance and repairs of industrial control and information system components are performed consistent with policies and procedures.,PR.MA-2,"Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access",MA-4
Protect (PR),"Protective Technology (PR.PT): Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.",PR.PT-1,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy","AU-1, AU-2, AU-3, AU-6, AU-7, AU-12, AU-13, AU-14, AU-16"
Protect (PR),"Protective Technology (PR.PT): Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.",PR.PT-2,Removable media is protected and its use restricted according to policy,"MP-1, MP-2, MP-3, MP-4, MP-5, MP-7, MP-8"
Protect (PR),"Protective Technology (PR.PT): Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.",PR.PT-3,The principle of least functionality is incorporated by configuring systems to provide only essential capabilities,"AC-3, CM-7"
Protect (PR),"Protective Technology (PR.PT): Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.",PR.PT-4,Communications and control networks are protected,"AC-12, AC-17, AC-18, CP-8, SC-5, SC-7, SC-10, SC-11, SC-20, SC-21, SC-22, SC-23, SC-31,  SC-37, SC-38, SC-47"
Protect (PR),"Protective Technology (PR.PT): Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.",PR.PT-5,"Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations","CP-7, CP-8, CP-11, CP-12, CP-13, PE-11, PL-8, SC-6"
Detect (DE),Anomalies and Events (DE.AE): Anomalous activity is detected and the potential impact of events is understood.,DE.AE-1,A baseline of network operations and expected data flows for users and systems is established and managed,"AC-4, CA-3, CM-2, SC-16, SI-4"
Detect (DE),Anomalies and Events (DE.AE): Anomalous activity is detected and the potential impact of events is understood.,DE.AE-2,Detected events are analyzed to understand attack targets and methods,"AU-6, CA-7, RA-5, IR-4, SI-4"
Detect (DE),Anomalies and Events (DE.AE): Anomalous activity is detected and the potential impact of events is understood.,DE.AE-3,Event data are collected and correlated from multiple sources and sensors,"AU-6, CA-7, CP-2, IR-4, IR-5, IR-8, SI-4"
Detect (DE),Anomalies and Events (DE.AE): Anomalous activity is detected and the potential impact of events is understood.,DE.AE-4,Impact of events is determined,"CP-2, IR-4, RA-3, SI-4"
Detect (DE),Anomalies and Events (DE.AE): Anomalous activity is detected and the potential impact of events is understood.,DE.AE-5,Incident alert thresholds are established,"IR-4, IR-5, IR-8"
Detect (DE),Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-1,The network is monitored to detect potential cybersecurity events,"AU-12, CA-7, CM-3, SC-5, SC-7, SI-4"
Detect (DE),Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-2,The physical environment is monitored to detect potential cybersecurity events,"CA-7, PE-6, PE-20"
Detect (DE),Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-3,Personnel activity is monitored to detect potential cybersecurity events,"AC-2, AU-12, AU-13, CA-7, CM-10, CM-11"
Detect (DE),Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-4,Malicious code is detected,"SC-44, SI-3, SI-4, SI-8"
Detect (DE),Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-5,Unauthorized mobile code is detected,"SC-18, SC-44, SI-4"
Detect (DE),Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-6,External service provider activity is monitored to detect potential cybersecurity events,"CA-7, PS-7, SA-4, SA-9, SI-4"
Detect (DE),Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-7,"Monitoring for unauthorized personnel, connections, devices, and software is performed","AU-12, CA-7, CM-3, CM-8, PE-6, PE-20, SI-4"
Detect (DE),Security Continuous Monitoring (DE.CM): The information system and assets are monitored to identify cybersecurity events and verify the effectiveness of protective measures.,DE.CM-8,Vulnerability scans are performed,RA-5
Detect (DE),Detection Processes (DE.DP): Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.,DE.DP-1,Roles and responsibilities for detection are well defined to ensure accountability,"CA-2, CA-7, PM-14"
Detect (DE),Detection Processes (DE.DP): Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.,DE.DP-2,Detection activities comply with all applicable requirements,"CA-1, CA-2, CA-7, PM-14, SI-1, SI-4, SR-1, SR-9, SR-10, all -1 controls"
Detect (DE),Detection Processes (DE.DP): Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.,DE.DP-3,Detection processes are tested,"CA-2, CA-7, SI-3, SI-4, PM-14"
Detect (DE),Detection Processes (DE.DP): Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.,DE.DP-4,Event detection information is communicated,"AU-6, CA-2, CA-7,  RA-5, SI-4"
Detect (DE),Detection Processes (DE.DP): Detection processes and procedures are maintained and tested to ensure awareness of anomalous events.,DE.DP-5,Detection processes are continuously improved,"CA-2, CA-7, PL-2, RA-5, SI-4, PM-14"
Respond (RS),"Response Planning (RS.RP): Response processes and procedures are executed and maintained, to ensure response to detected cybersecurity incidents.",RS.RP-1,Response plan is executed during or after an incident,"CP-2, CP-10, IR-4, IR-8 "
Respond (RS),Communications (RS.CO): Response activities are coordinated with internal and external stakeholders (e.g. external support from law enforcement agencies).,RS.CO-1,Personnel know their roles and order of operations when a response is needed,"CP-2, CP-3, IR-3, IR-8"
Respond (RS),Communications (RS.CO): Response activities are coordinated with internal and external stakeholders (e.g. external support from law enforcement agencies).,RS.CO-2,Incidents are reported consistent with established criteria,"AU-6, IR-6, IR-8"
Respond (RS),Communications (RS.CO): Response activities are coordinated with internal and external stakeholders (e.g. external support from law enforcement agencies).,RS.CO-3,Information is shared consistent with response plans,"CP-2, IR-4, IR-8"
Respond (RS),Communications (RS.CO): Response activities are coordinated with internal and external stakeholders (e.g. external support from law enforcement agencies).,RS.CO-4,Coordination with stakeholders occurs consistent with response plans,"CP-2, PE-6, IR-4, IR-8"
Respond (RS),Communications (RS.CO): Response activities are coordinated with internal and external stakeholders (e.g. external support from law enforcement agencies).,RS.CO-5,Voluntary information sharing occurs with external stakeholders to achieve broader cybersecurity situational awareness ,"SI-5, PM-15"
Respond (RS),Analysis (RS.AN): Analysis is conducted to ensure effective response and support recovery activities.,RS.AN-1,Notifications from detection systems are investigated ,"AU-6, CA-7, IR-4, IR-5, PE-6, RA-5, SI-4 "
Respond (RS),Analysis (RS.AN): Analysis is conducted to ensure effective response and support recovery activities.,RS.AN-2,The impact of the incident is understood,"CP-2, IR-4, RA-3"
Respond (RS),Analysis (RS.AN): Analysis is conducted to ensure effective response and support recovery activities.,RS.AN-3,Forensics are performed,"AU-7, IR-4"
Respond (RS),Analysis (RS.AN): Analysis is conducted to ensure effective response and support recovery activities.,RS.AN-4,Incidents are categorized consistent with response plans,"CP-2, IR-4, IR-5, IR-8, RA-3"
Respond (RS),Analysis (RS.AN): Analysis is conducted to ensure effective response and support recovery activities.,RS.AN-5,"Processes are established to receive, analyze and respond to vulnerabilities disclosed to the organization from internal and external sources (e.g. internal testing, security bulletins, or security researchers)","CA-1, CA-2, RA-1, PM-4, PM-15, RA-7, SI-5, SR-6"
Respond (RS),"Mitigation (RS.MI): Activities are performed to prevent expansion of an event, mitigate its effects, and resolve the incident.",RS.MI-1,Incidents are contained,IR-4
Respond (RS),"Mitigation (RS.MI): Activities are performed to prevent expansion of an event, mitigate its effects, and resolve the incident.",RS.MI-2,Incidents are mitigated,IR-4
Respond (RS),"Mitigation (RS.MI): Activities are performed to prevent expansion of an event, mitigate its effects, and resolve the incident.",RS.MI-3,Newly identified vulnerabilities are mitigated or documented as accepted risks,"CA-2, CA-7, RA-3, RA-5, RA-7"
Respond (RS),Improvements (RS.IM): Organizational response activities are improved by incorporating lessons learned from current and previous detection/response activities.,RS.IM-1,Response plans incorporate lessons learned,"CP-2, IR-4, IR-8"
Respond (RS),Improvements (RS.IM): Organizational response activities are improved by incorporating lessons learned from current and previous detection/response activities.,RS.IM-2,Response strategies are updated,"CP-2, IR-4, IR-8"
Recover (RC),Recovery Planning (RC.RP): Recovery processes and procedures are executed and maintained to ensure restoration of systems or assets affected by cybersecurity incidents.,RC.RP-1,Recovery plan is executed during or after a cybersecurity incident ,"CP-10, IR-4, IR-8"
Recover (RC),Improvements (RC.IM): Recovery planning and processes are improved by incorporating lessons learned into future activities.,RC.IM-1,Recovery plans incorporate lessons learned,"CP-2, IR-4, IR-8"
Recover (RC),Improvements (RC.IM): Recovery planning and processes are improved by incorporating lessons learned into future activities.,RC.IM-2,Recovery strategies are updated,"CP-2, IR-4, IR-8"
Recover (RC),"Communications (RC.CO): Restoration activities are coordinated with internal and external parties (e.g.  coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors).",RC.CO-1,Public relations are managed,IR-4
Recover (RC),"Communications (RC.CO): Restoration activities are coordinated with internal and external parties (e.g.  coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors).",RC.CO-2,Reputation is repaired after an incident ,IR-4
Recover (RC),"Communications (RC.CO): Restoration activities are coordinated with internal and external parties (e.g.  coordinating centers, Internet Service Providers, owners of attacking systems, victims, other CSIRTs, and vendors).",RC.CO-3,Recovery activities are communicated to internal and external stakeholders as well as executive and management teams,"CP-2, IR-4 "
